title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
Furnished 4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ring Rd Ibadan Oyo,realvestandhomes,"  120,000/day ", 6JHEF,True,True,True,4,4,5,120000,3600000,43800000,2023-04-17,2023-08-12,Oyo
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chevron Alternative Route Chevron Lekki Lagos,shelternestrealty,"  90,000/day ", 4HNUC,False,False,True,4,5,6,90000,2700000,32850000,2022-11-07,2023-08-12,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,By Hotel Bus Stop Diamond Estate Phase 3 Pipeline Alimosho Lagos,purple-ribbon-properties,"  150,000/month ", 4GQYK,False,False,False,4,0,0,5000.0,150000,1800000,2022-05-25,2023-08-12,Lagos
Luxury 4 Bedroom Duplex With Pool & Gym,4 BEDROOM HOUSE FOR SHORTLET,Ikoyi Lagos,franklin15,"  260,000/day ", 3JYNS,True,True,True,4,4,5,260000,7800000,94900000,2023-08-12,2023-08-12,Lagos
3 & 4 Bedroom Semi Detached Duplexes,4 BEDROOM HOUSE FOR SHORTLET,Jakande Lekki Lagos,megalux-homes,"  90,000/day ", 4JFFS,False,True,True,4,4,5,90000,2700000,32850000,2023-03-31,2023-08-12,Lagos
Fully Detached Serviced 5 Bedroom Duplex,5 BEDROOM HOUSE FOR SHORTLET,Kolapo Isola Gra Ibadan Oyo,higherground-realty,"  100,000/day ", 1GEYS,False,True,True,5,5,6,100000,3000000,36500000,2022-03-13,2023-08-12,Oyo
5 Bedroom Duplex Shortlet Apartment,5 BEDROOM HOUSE FOR SHORTLET,New Bodija Bodija Ibadan Oyo,shelters-apartment,"  200,000/day ", 2JGZS,True,True,True,5,5,6,200000,6000000,73000000,2023-04-16,2023-08-12,Oyo
Three Bedroom Duplex In Lekki Phase One Inside A Secured Estate With 24 Hours Electricity,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,1004 Victoria Island Lagos,ase-ltd,"  40,000 ", 0DVGL,False,True,True,3,3,4,40000,480000,14600000,2020-09-09,2023-08-12,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Allen Avenue Ikeja Lagos,homeyrealtyteam,"  20,000 ", S4446,False,False,False,3,4,4,20000,240000,7300000,2018-04-03,2023-08-12,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,kamcourts-investment-limited,"  90,000/month ", 8HKJD,False,True,True,3,3,4,3000.0,90000,1080000,2022-10-11,2023-08-12,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,purple-ribbon-properties,"  125,000/day ", 2JAZQ,False,False,False,3,0,0,125000,3750000,45625000,2023-02-21,2023-08-12,Lagos
